Valor,Bairro,N_quartos,N_banheiros,Area
1090000.0,Vila Uberabinha,3.0,3.0,116
950000.0,Itaim Bibi,3.0,2.0,92
698000.0,Vila Uberabinha,2.0,2.0,70
560000.0,Vila Guarani(Zona Sul),2.0,2.0,63
910000.0,Vila Guarani(Zona Sul),3.0,3.0,96
425000.0,Brooklin,1.0,1.0,40
450000.0,Jardins,1.0,1.0,45
420000.0,Consolação,1.0,1.0,45
1300000.0,Pinheiros,2.0,1.0,95
1984000.0,Vila Madalena,4.0,5.0,149
375000.0,Jardins,1.0,1.0,45
10268831.0,Vila Olímpia,5.0,2.0,343
2388011.0,Santo Amaro,5.0,6.0,189
300000.0,Vila Olímpia,1.0,1.0,33
257000.0,Morumbi,2.0,1.0,49
1300000.0,Morumbi,4.0,3.0,267
149900.0,Capão Redondo,2.0,1.0,40
149900.0,Capão Redondo,2.0,1.0,41
300000.0,Vila Olímpia,1.0,1.0,33
328600.0,Vila Prudente,2.0,2.0,64
800000.0,Brooklin,2.0,1.0,72
599590.0,República,2.0,2.0,65
3150000.0,Brooklin,4.0,5.0,210
1809000.0,Brooklin,2.0,3.0,138
1900000.0,Brooklin,4.0,4.0,170
1300000.0,Brooklin,2.0,3.0,80
2130000.0,Brooklin,3.0,4.0,178
960000.0,Tatuapé,3.0,3.0,102
1640000.0,Moema,3.0,4.0,148
560000.0,Higienópolis,1.0,1.0,60
1600000.0,Higienópolis,2.0,4.0,136
280001.0,República,1.0,1.0,30
1080000.0,Paraíso,2.0,2.0,78
2128000.0,Brooklin,3.0,5.0,168
385000.0,Lapa,2.0,1.0,48
995000.0,Higienópolis,3.0,3.0,110
678000.0,Cambuci,2.0,1.0,65
3800000.0,Higienópolis,4.0,4.0,272
930000.0,Perdizes,2.0,1.0,82
750000.0,Perdizes,3.0,2.0,64
2332000.0,Brooklin,3.0,,196
3190000.0,Pinheiros,4.0,4.0,211
950000.0,Jardins,2.0,2.0,65
1280000.0,Ipiranga,4.0,5.0,170
1342405.0,Perdizes,3.0,4.0,116
930334.0,Pinheiros,1.0,2.0,55
750000.0,Pinheiros,2.0,1.0,55
2200000.0,Higienópolis,3.0,,242
1370000.0,Higienópolis,3.0,,180
520000.0,Aclimação,3.0,3.0,70
1385000.0,Ipiranga,3.0,5.0,146
250000.0,Brooklin,1.0,1.0,30
330000.0,Pinheiros,1.0,1.0,35
300000.0,Jardins,1.0,1.0,35
690000.0,Pinheiros,2.0,2.0,
1276000.0,Pinheiros,2.0,2.0,89
1589000.0,Moema,3.0,4.0,148
540000.0,Saúde,2.0,1.0,62
950000.0,Consolação,2.0,2.0,120
18024030.0,Itaim Bibi,5.0,2.0,570
153000.0,Brás,1.0,1.0,26
1500000.0,Higienópolis,3.0,2.0,240
1800000.0,Santana,5.0,4.0,228
1290000.0,Butantã,3.0,5.0,205
350000.0,Tatuapé,2.0,2.0,69
310000.0,Jabaquara,3.0,1.0,78
307000.0,Morumbi,2.0,1.0,68
2400000.0,Moema,3.0,3.0,181
806000.0,Pirituba,3.0,1.0,107
293000.0,Morumbi,2.0,1.0,58
278000.0,Jabaquara,2.0,1.0,50
225000.0,Morumbi,2.0,1.0,59
216000.0,Morumbi,2.0,1.0,45
340000.0,Jabaquara,2.0,1.0,49
268000.0,Morumbi,3.0,1.0,59
278000.0,Morumbi,3.0,1.0,68
210000.0,Carrão,1.0,1.0,30
2500000.0,Moema,3.0,5.0,187
495000.0,Moema,1.0,1.0,50
2300000.0,Moema,3.0,5.0,165
1900000.0,Moema,3.0,5.0,220
750000.0,Moema,3.0,3.0,100
2200000.0,Moema,3.0,4.0,214
420000.0,Ipiranga,1.0,1.0,45
2400000.0,Moema,4.0,3.0,182
850000.0,Moema,3.0,3.0,100
950000.0,Jardins,2.0,3.0,119
200000.0,Centro,1.0,1.0,32
5500000.0,Pinheiros,3.0,5.0,332
450000.0,Perdizes,2.0,2.0,82
1630000.0,Brooklin,4.0,5.0,237
320000.0,Panamby,1.0,1.0,39
312000.0,Indianópolis,,1.0,
1250000.0,Tatuapé,3.0,5.0,190
596000.0,Tatuapé,3.0,2.0,96
588000.0,Pinheiros,1.0,1.0,49
321500.0,Centro,1.0,1.0,47
401779.0,Jaguaré,3.0,2.0,70
316315.0,Jaguaré,2.0,,56
385000.0,Jaguaré,3.0,2.0,70
388392.0,Centro,2.0,2.0,64
367642.0,Jaguaré,2.0,2.0,64
333300.0,Jaguaré,2.0,2.0,68
2751000.0,Aclimação,4.0,6.0,254
289775000.0,Centro,1.0,1.0,22
